title,price,rating
PlayStation 4 500GB Console (Renewed),$173.99,4.0 out of 5 stars
PlayStation 4 Slim 1TB Console - Black (Renewed),$179.95,4.0 out of 5 stars
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",$229.99,4.0 out of 5 stars
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,$330.98,4.5 out of 5 stars
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",$200.00,4.5 out of 5 stars
PlayStation 4 Slim 1TB Console,$329.99,4.5 out of 5 stars
PlayStation 4 Console - 1TB Slim Edition (Renewed),$203.99,4.5 out of 5 stars
Sony PlayStation 4 500GB Premium Bundle (Renewed),$229.99,4.5 out of 5 stars
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),$207.95,4.2 out of 5 stars
PlayStation®5 Digital Edition (slim),$399.00,4.5 out of 5 stars
"Sony Playstation 4 500GB white, 9466314 (Renewed)",$196.99,4.0 out of 5 stars
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),$189.99,4.5 out of 5 stars
PlayStation 4 500GB Console [Old Model][Discontinued],$114.99,4.5 out of 5 stars
"Sony PlayStation 4 Console, Renewed, Black",$196.87,3.9 out of 5 stars
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,$367.58,4.5 out of 5 stars
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",$334.90,4.5 out of 5 stars
PlayStation 4 Slim 1TB Console - Black (Renewed),$179.95,4.0 out of 5 stars
PlayStation 2 Slim Console PS2 (Renewed),$178.95,3.9 out of 5 stars
Sony Playstation 3 320GB PS3 Console Only (Renewed),$175.49,4.0 out of 5 stars
PlayStation 2 Slim Silver (Renewed),$175.20,4.1 out of 5 stars
PlayStation 4 Slim 1TB Console - Marvels Spider-Man Bundle (Renewed),$271.39,3.9 out of 5 stars
Sony PlayStation 3 - 80GB System (Renewed),$160.00,3.8 out of 5 stars
PlayStation 4 Console - 1TB Slim Edition (Renewed),$203.99,4.5 out of 5 stars
"HOF Maestro Matte White Wired Gaming Headsets - 7.1 Virtual Surround Sound - Detachable Fabric & Memory Foam Earmuffs - Detachable Uni-Directional Mic - PC, PS4, PS5, Switch - 3.5 mm Audio Jack",$59.99,4.3 out of 5 stars
"Dliaonew Wireless Controller for PS4, 2 Pack Remote Control Compatible with PS-4/Slim/Pro with Dual Vibration/Audio/Six-axis Motion Sensor/Game Joystick - Camo Red + Camo Green",$36.89,4.3 out of 5 stars
"Ozeino Wireless Gaming Headset for PS5 PS4 PC Laptop -7.1 Surround Sound, Detachable Noise-Canceling Mic, 33H Playtime, 50mm Driver PS5 Headset",$29.98,4.4 out of 5 stars
